threshold,precision,recall,f1,false_negatives,false_positives,true_positives,true_negatives
0.05,0.14096916299559473,0.8,0.2397003745318352,8,195,32,562
0.06,0.15544041450777202,0.75,0.2575107296137339,10,163,30,594
0.07,0.17791411042944785,0.725,0.2857142857142857,11,134,29,623
0.08,0.1678832116788321,0.575,0.2598870056497175,17,114,23,643
0.09,0.15384615384615385,0.45,0.22929936305732485,22,99,18,658
0.1,0.16,0.4,0.22857142857142856,24,84,16,673
0.11,0.16666666666666666,0.375,0.23076923076923078,25,75,15,682
0.12,0.189873417721519,0.375,0.25210084033613445,25,64,15,693
0.13,0.203125,0.325,0.25,27,51,13,706
0.14,0.2222222222222222,0.3,0.2553191489361702,28,42,12,715
0.15,0.2,0.225,0.21176470588235294,31,36,9,721
0.16,0.20454545454545456,0.225,0.21428571428571427,31,35,9,722
0.17,0.21052631578947367,0.2,0.20512820512820512,32,30,8,727
0.18,0.22580645161290322,0.175,0.19718309859154928,33,24,7,733
0.19,0.25925925925925924,0.175,0.208955223880597,33,20,7,737
0.2,0.2916666666666667,0.175,0.21875,33,17,7,740
0.21,0.3,0.15,0.2,34,14,6,743
0.22,0.26666666666666666,0.1,0.14545454545454545,36,11,4,746
0.23,0.3076923076923077,0.1,0.1509433962264151,36,9,4,748
0.24,0.3333333333333333,0.1,0.15384615384615385,36,8,4,749
0.25,0.4,0.1,0.16,36,6,4,751
0.26,0.4,0.1,0.16,36,6,4,751
0.27,0.4,0.1,0.16,36,6,4,751
0.28,0.4,0.1,0.16,36,6,4,751
0.29,0.4444444444444444,0.1,0.16326530612244897,36,5,4,752
0.3,0.5,0.1,0.16666666666666666,36,4,4,753
0.31,0.6,0.075,0.13333333333333333,37,2,3,755
0.32,0.75,0.075,0.13636363636363635,37,1,3,756
0.33,0.75,0.075,0.13636363636363635,37,1,3,756
0.34,1.0,0.05,0.09523809523809523,38,0,2,757
0.35,1.0,0.025,0.04878048780487805,39,0,1,757
0.36,1.0,0.025,0.04878048780487805,39,0,1,757
0.37,1.0,0.025,0.04878048780487805,39,0,1,757
0.38,0.0,0.0,0.0,40,0,0,757
0.39,0.0,0.0,0.0,40,0,0,757
0.4,0.0,0.0,0.0,40,0,0,757
0.41,0.0,0.0,0.0,40,0,0,757
0.42,0.0,0.0,0.0,40,0,0,757
0.43,0.0,0.0,0.0,40,0,0,757
0.44,0.0,0.0,0.0,40,0,0,757
0.45,0.0,0.0,0.0,40,0,0,757
0.46,0.0,0.0,0.0,40,0,0,757
0.47,0.0,0.0,0.0,40,0,0,757
0.48,0.0,0.0,0.0,40,0,0,757
0.49,0.0,0.0,0.0,40,0,0,757
0.5,0.0,0.0,0.0,40,0,0,757
