feature,importance_mean,importance_std
age,0.25085204755614265,0.03224631555130662
avg_glucose_level,0.012909511228533732,0.010003426803004424
hypertension,0.004171070013210043,0.001480913347182228
heart_disease,0.0013837516512550051,0.0007328968202468259
ever_married,0.0013738441215323971,0.003570659294819708
smoking_status,0.0008685601056803938,0.002870679073598654
Residence_type,6.274768824311438e-05,0.00023972218552129076
bmi,-0.00028401585204751445,0.0028196627679462167
work_type,-0.0008157199471597986,0.0013949772139294104
gender,-0.0012912813738440887,0.001126969106342795
