number,value,params_C,params_max_iter,params_solver,user_attrs_pr_auc_mean,user_attrs_roc_auc_mean,state
0,0.7653225806451613,0.0745934328572655,500,liblinear,0.1977191620334189,0.8328340302871929,COMPLETE
1,0.8346774193548387,0.0019517224641449498,2000,liblinear,0.18822961660104268,0.8296691487330552,COMPLETE
2,0.7590725806451613,14.528246637516036,2000,liblinear,0.1948033724803838,0.8297756560846701,COMPLETE
3,0.7653225806451613,0.14445251022763064,2000,lbfgs,0.19756092443636644,0.831826768087366,COMPLETE
4,0.7653225806451613,0.19069966103000435,1000,liblinear,0.1964134664450662,0.8315081577805874,COMPLETE
5,0.7590725806451613,1.0907475835157696,1000,liblinear,0.19432682759115003,0.8301475657096502,COMPLETE
6,0.7653225806451613,0.03334792728637585,2000,lbfgs,0.19793749314656936,0.8339406229845858,COMPLETE
7,0.8409274193548388,0.0014857392806279248,500,liblinear,0.18704402629599598,0.8284868292547729,COMPLETE
8,0.7653225806451613,0.5414413211338525,1000,lbfgs,0.1945165420997134,0.8305717595219934,COMPLETE
9,0.7653225806451613,0.9761125443110458,2000,liblinear,0.19437613423130545,0.8301575635936027,COMPLETE
10,0.7590725806451613,57.81557911997871,500,lbfgs,0.1945656923795444,0.8297859696160232,COMPLETE
11,0.8409274193548388,0.0010691966850755784,500,liblinear,0.18639980786248364,0.8270731506801706,COMPLETE
12,0.8409274193548388,0.0011075819418178547,500,liblinear,0.18629589290160428,0.8271589006407971,COMPLETE
13,0.803024193548387,0.007949621754261763,500,liblinear,0.19724771651489778,0.8349053673695815,COMPLETE
14,0.803024193548387,0.007256770571599434,500,liblinear,0.19690823238281685,0.8346162557971339,COMPLETE
15,0.815524193548387,0.00480239144885004,500,liblinear,0.1952147357983407,0.8336580954649717,COMPLETE
16,0.7715725806451613,0.0216249625847715,500,liblinear,0.19734300430584026,0.8343546902344194,COMPLETE
17,0.8409274193548388,0.0010812841835134207,500,liblinear,0.186476727811687,0.8271596171713945,COMPLETE
18,0.7903225806451613,0.0036871277603606673,500,lbfgs,0.1965966886277009,0.832765067379172,COMPLETE
19,0.7905241935483871,0.013667688059759651,500,liblinear,0.19806218861940517,0.8346972287038088,COMPLETE
20,0.8346774193548387,0.0033969069591311984,1000,liblinear,0.19450050547388292,0.8326347528447859,COMPLETE
21,0.8409274193548388,0.0012201317842902319,500,liblinear,0.18680161019175,0.8276375029365106,COMPLETE
22,0.8409274193548388,0.0011633263858100073,500,liblinear,0.18652006364331153,0.8274720344101858,COMPLETE
23,0.8346774193548387,0.0029574939405370812,500,liblinear,0.19309110904240365,0.8315572920928457,COMPLETE
24,0.7905241935483871,0.012856056879154136,500,liblinear,0.19681637524458456,0.83475021237461,COMPLETE
25,0.7653225806451613,0.034369275747841446,500,liblinear,0.19830129994817364,0.8340168864760376,COMPLETE
26,0.7967741935483871,0.0023391124967026633,500,lbfgs,0.19149569688335633,0.8310262527352442,COMPLETE
27,0.809274193548387,0.00692995927195716,500,liblinear,0.19669121863596842,0.8345027728579308,COMPLETE
28,0.8409274193548388,0.0010131342546636916,1000,liblinear,0.18629353777429433,0.8266966856143092,COMPLETE
29,0.8346774193548387,0.002477107915350659,500,liblinear,0.1928106710405282,0.8310551196248657,COMPLETE
