threshold,precision,recall,f1,false_negatives,false_positives,true_positives,true_negatives
0.1,0.050188205771643665,1.0,0.0955794504181601,0,757,40,0
0.15,0.05056890012642225,1.0,0.09626955475330927,0,751,40,6
0.2,0.05342465753424658,0.975,0.1012987012987013,1,691,39,66
0.25,0.059001512859304085,0.975,0.11126961483594865,1,622,39,135
0.3,0.06587837837837837,0.975,0.12341772151898735,1,553,39,204
0.35,0.07330827067669173,0.975,0.13636363636363635,1,493,39,264
0.4,0.08597285067873303,0.95,0.15767634854771784,2,404,38,353
0.45,0.10511363636363637,0.925,0.18877551020408162,3,315,37,442
0.5,0.12790697674418605,0.825,0.2214765100671141,7,225,33,532
0.55,0.15816326530612246,0.775,0.2627118644067797,9,165,31,592
0.6,0.15873015873015872,0.5,0.24096385542168675,20,106,20,651
0.65,0.1917808219178082,0.35,0.24778761061946902,26,59,14,698
0.7,0.21212121212121213,0.175,0.1917808219178082,33,26,7,731
0.75,0.4,0.1,0.16,36,6,4,751
0.8,1.0,0.025,0.04878048780487805,39,0,1,757
0.85,0.0,0.0,0.0,40,0,0,757
0.9,0.0,0.0,0.0,40,0,0,757
